Sentence,Label
the job failed due to row count mismatch between source file and the ODS table.,0
Job got failed due to name pipe error.,0
Job got failed due to duplicate issue.,0
Job got failed due to file unavailability.,0
Job got failed due to tdata connectivity issue.,0
the job failed due to hadoop database issue.,0
Named pipe error.,0
JOb got failed due to data duplicate issue.,0
no source file,0
Job got failed due to connectivity issue.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to source unavailability.,0
Then Job was cancelled for the day.,0
Job got failed due to tdata connectivity issue.,0
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
Collect stats failed.,0
the job was killed as it hanged for long time.,0
the job was cancelled for the day.,0
so the job are killed manually.,0
Stats failed due to format issue.,0
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
Job got failed due to login time out.,0
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
JOb got failed due to connectivity issue.,0
Job got failed due to data issue.,0
JOb was failed due to null value issue.,0
Job got failed due to file unavailability.,0
Failed due to login time out issue and on re-running job got completed successfully.,0
Job got failed due to file unavailability.,0
Job got failed due to tdata connectivity issue.,0
JOb got failed due to connectivity issue.,0
JOb got failed due to file unavailability.,0
No source file.,0
Named pipe error.,0
Hence Job was aborted and cancelled,0
Job got failed due to name pipe error.,0
JOb got failed due to file unavailability.,0
cancelled the job,0
JOb got failed due to data duplicate issue.,0
The job failed due to tbload.It completed successfulll after releasing the tbload.,0
JOb got failed due to process state failure.,0
No source file,0
Job was killed and completed successfully by running the query manually.,0
JOb got failed due to connectivity issue.,0
Job got failed due to tdata outage.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
JOb got failed due to connectivity issue.,0
The job was killed manually as the job was hanged,0
Job got failed due to duplicate issue.,0
Job got failed due to tdata connectivity issue.,0
Job got failed due to file unailability.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
The job got abended with PIPE error due to database connection time out.,0
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
Job got failed due to duplicate issue.,0
The job failed due to tbload.It completed successfulll after releasing the tbload.,0
Job got failed due to connectivity issue.,0
JOb got failed due to low disk space.,0
Job got failed due to data issue.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
Job got failed due to file unavailability.,0
the jobs failed due to null values which has been completed after re-execution.,0
Named pipe error.,0
Job got failed due to  incorrect stream closure.,0
JOb got failed due to tdata Outage.,0
Job got failed due to data value issue.,0
JOb got failed due to data duplicate issue.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
JOb got failed due to login timeeout.,0
Job got abended due to existence of bad character.,0
JOb got failed due to file unavailability.,0
Job was killed and completed successfully by running the query manually.,0
The job got abended with PIPE error due to database connection time out.,0
Job got failed due to source unavailability.,0
Then Job was cancelled for the day.,0
Job got failed due to file unavailability.,0
so the job are killed manually.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
No source file.,0
the job failed due to row count mismatch between source file and the ODS table.,0
Job got failed due to name pipe error.,0
JOb got failed due to data duplicate issue.,0
Login timed out error.,0
Job got failed due to count mismatch.,0
JOb got failed due to data issue.,0
JOb got failed due to connectivity issue.,0
Job got failed due to file unavailability.,0
JOb got failed due to connectivity issue.,0
Job got failed due to login time out.,0
JOb got failed due to connectivity issue.,0
The job has been cancelled,0
Job got failed due to connectivity issue.,0
Job got failed due to count mismatch.,0
JOb got failed due to data duplicate issue.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
Job got failed due to count mismatch.,0
Job got failed due to connectivity issue.,0
Job got failed due to connectivity issue.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
Job got failed due to connectivity issue.,0
the job failed due to hadoop database issue.,0
the job failed due to hadoop database issue.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
JOb got failed due to connectivity  issue.,0
Job got failed due to connectivity issue.,0
Job got failed due to file unavailability.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
Job got failed due to connectivity issue.,0
Job got failed due to source unavailability.,0
Then Job was cancelled for the day.,0
Job got failed due to connectivity issue.,0
Job got failed due to tdata connecitivity issuee.,0
Job got failed due to null value issue.,0
JOb got failed due to tdata Outage.,0
JOb got failed due to duplicate issue.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
JOb got failed due to connectivity issue.,0
JOb got failed due to name pipe error issue.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to count mismatch.,0
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
so the job are killed manually.,0
Job got failed due to connectivity issue.,0
Job got failed due to connectivity issue.,0
Then job was cancelled for the day.,0
Job got failed due to tdata connectivity issue.,0
The job got killed due to tbload issue.,0
The job failed due to log-in time out which has been re-executed and completed successfully.,0
job got failed due to name pipe error.,0
Job got failed due to tdata connectivity issue.,0
Job got failed due to connectivity issue.,0
Job got failed due to connectivity issue.,0
Job got failed due to data issue.,0
JOb got failed due to connectivity issue.,0
"failed during collect stats , skipped and continued the job",0
Job got failed due to tdata outage.,0
Job failed to trigger in production.,0
"Due to data issues, the job was failed.",0
Job got failed due to tdata outage.,0
Job got failed due to process state failure.,0
Job got failed due to file unavailability.,0
Job got failed due to duplicate issue.,0
Job got failed due to count mismatch.,0
he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
"JOb failed due to namepipe error, successful on rerun",0
Named pipe error.,0
TODS error.,0
JOb got failed due to data duplicate issue.,0
Login timed out error.,0
Job got failed due to connectivity issue.,0
Job got failed due to null value issue.,0
JOb got failed due to duplicate issue.,0
JOb was failed due to null value issue.,0
JOb got failed due to process state failure.,0
Job got failed due to connectivity issue.,0
Job got failed due to count mismatch.,0
Job got failed due to count mismatch.,0
source file missing (or) Invalid data format from source)  leads to the job failure.,0
The job failed in update status query.We have manually changed the status and the job completed successfully.,0
Hence job has been killed and marked as success.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to connectivity issue.,0
JOb got failed due to data duplicate issue.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
JOb was failed due to null value issue.,0
The job failed due to log in time out error which has bee re-executed and completed successfully,0
Job got failed due to data issue.,0
Job got failed due to file unavailability.,0
Then job has been cancelled for  the day.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to login time out.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
The job failed due to duplicate .We have re-executed the job after deleting the invalid records and the job completed successfully.,0
Job got failed due to connectivity issue.,0
JOb got failed due to file unavailability.,0
Job got failed due to source unavailability.,0
Then Job was cancelled for the day.,0
Job got failed due to tdata connecitivity issuee.,0
The job has been cancelled,0
Job got failed due to tdata connecitivity issuee.,0
Job got failed due to connectivity issue.,0
The job failed due to tbload.It completed successfulll after releasing the tbload.,0
Job got failed due to duplicate issue.,0
JOb got failed due to name pipe error issue.,0
Time-out error.,0
The job failed due to log-in time out which has been re-executed and completed successfully.,0
The job got abended with PIPE error due to database connection time out.,0
Job got failed due to data issue.,0
the job failed due to duplicate issue.,0
dead lock.,0
JOb got failed due to connectivity issue.,0
The job failed due to log in time out error which has bee re-executed and completed successfully,0
JOb was failed due to null value issue.,0
JOb got failed due to connectivity issue.,0
Job got failed due to tdata connectivity issue.,0
JOb got failed due to connectivity issue.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to null value issue.,0
Job got failed due to data issue.,0
failed due to tbload issue.The job completed successfully after releasing the tbload.,0
Job cancelled,0
Job got failed due to tdata connectivity issue.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
JOb got failed due to connectivity  issue.,0
Job got failed due to tdata connecitivity issuee.,0
Job got failed due to file unavailability.,0
Job got failed due to  incorrect stream closure.,0
The job failed due to file unavailability.This has been resolved after file recieved and re-execution.,0
Failed due to login time out issue and on re-running job got completed successfully.,0
"source count target count validation failed  , on rerun the job completed successfully.",0
killed by tdata DBA.,0
Job got failed due to connectivity issue.,0
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
The job failed due to log in time out error which has bee re-executed and completed successfully,0
The job abended with PIPE error due to login timeout issue.,0
Job got failed due to tdata connectivity issue.,0
Job got failed due to file unavailability.,0
Named pipe error.,0
JOb got failed due to connectivity issue.,0
Job got failed due to tdata outage.,0
The job failed due to log in time out error.We have re-executed the job and completed successfully.,0
Job got failed due to name pipe error.,0
no spool space in db.,0
the job failed due to file unavailability.The job ran later with the file and completed successfully.,0
Job got failed due to connectivity issue.,0
Job got failed due to file unavailability.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
Job got failed due to file unavailability.,0
Job got failed due to connectivity issue.,0
The job failed due to log in time out error which has bee re-executed and completed successfully,0
Job got failed due to name pipe error.,0
JOb got failed due to connectivity issue.,0
Job got failed due to connectivty issue.,0
Job got failed due to tdata connectivity issue.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
Job got failed due to connectivity issue.,0
Job got failed due to connectivity issue.,0
no spool space in db.,0
Job got failed due to tdata connectivity issue.,0
he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
Job got failed due to duplicate issue.,0
Named pipe error and lock has been released.,0
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
Job got failed due to duplicate issue.,0
the job was killed as it hanged for long time.,0
the job was cancelled for the day.,0
JOb got failed due to name pipe error  and job was re-started and completed,0
Job got failed due to name pipe error.,0
JOb got failed due to null value issue.,0
Job got failed due to name pipe error.,0
Job got failed due to connectivity issue.,0
JOb got failed due to data duplicate issue.,0
JOb got failed due to duplicate issue.,0
JOb got failed due to data issue.,0
The job got abended with PIPE ERROR due to database connection Time out.,0
JOb got failed due to file unavailability.,0
Job got failed due to data issue.,0
JOb got failed due to connectivity issue.,0
